#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
26119981|2021-02-20T23:41:35.640000|40.829|14.114|3.0|BULLETIN-INGV||||Md|1.8|--|Campi Flegrei|earthquake
26139171|2021-02-25T19:41:54.240000|40.827|14.140167|1.5|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Campi Flegrei|earthquake
26240491|2021-03-14T15:59:55.690000|40.8315|14.1283|2.1|BULLETIN-INGV||||Md|1.3|--|Campi Flegrei|earthquake
26243881|2021-03-15T08:32:06.370000|40.8312|14.139|1.6|BULLETIN-INGV||||Md|1.3|--|Campi Flegrei|earthquake
26352651|2021-03-31T14:06:36.400000|40.798667|14.113|4.1|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Campi Flegrei|earthquake
26354921|2021-03-31T23:10:48.950000|40.8022|14.1075|3.0|BULLETIN-INGV||||Md|2.2|--|Campi Flegrei|earthquake
26404411|2021-04-07T00:05:14.089000|40.8255|14.138333|1.4|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Campi Flegrei|earthquake
26405241|2021-04-07T02:08:45.530000|40.8242|14.1533|2.2|BULLETIN-INGV||||Md|1.6|--|Campi Flegrei|earthquake
26414781|2021-04-08T09:10:47.109000|40.8285|14.123|2.6|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26530981|2021-04-28T02:25:21.500000|40.822833|14.140167|2.0|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26536131|2021-04-29T02:40:18.769000|40.824167|14.126833|2.0|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Campi Flegrei|earthquake
26536201|2021-04-29T02:57:39.890000|40.826667|14.1285|2.2|SURVEY-INGV-OV#WinPick||||Md|1.4|--|Campi Flegrei|earthquake
26545101|2021-04-29T22:38:08.460000|40.823|14.138|1.1|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26595121|2021-05-05T07:08:06.010000|40.8302|14.1422|2.5|BULLETIN-INGV||||Md|2.1|--|Campi Flegrei|earthquake
26612111|2021-05-06T16:35:42.640000|40.822833|14.135167|1.7|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26624471|2021-05-07T17:26:36.789000|40.822833|14.1335|2.2|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26774291|2021-05-19T02:47:22.089000|40.827333|14.133|2.0|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26774381|2021-05-25T03:34:55.859000|40.831333|14.141333|1.4|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Campi Flegrei|earthquake
26823431|2021-05-31T21:19:13.579000|40.8405|14.140833|1.6|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Campi Flegrei|earthquake
26823441|2021-05-31T21:22:01.849000|40.844|14.138|1.8|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Campi Flegrei|earthquake
26823451|2021-05-31T21:22:13.940000|40.842|14.140833|2.0|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Campi Flegrei|earthquake
26823511|2021-05-31T21:22:56.430000|40.842|14.136833|1.0|SURVEY-INGV-OV#WinPick||||Md|1.4|--|Campi Flegrei|earthquake
26823461|2021-05-31T21:25:32.000000|40.842|14.136|1.4|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26823281|2021-05-31T21:32:07.560000|40.8467|14.1337|1.7|BULLETIN-INGV||||Md|1.9|--|Campi Flegrei|earthquake
26823551|2021-05-31T21:33:10.099000|40.840333|14.137167|1.5|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Campi Flegrei|earthquake
26823541|2021-05-31T21:36:16.460000|40.839833|14.135833|1.2|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26823311|2021-05-31T21:38:09.290000|40.8408|14.1308|1.9|BULLETIN-INGV||||Md|1.7|--|Campi Flegrei|earthquake
26823561|2021-05-31T21:42:16.859000|40.838167|14.136833|1.4|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26823581|2021-05-31T21:45:58.250000|40.840333|14.133833|1.2|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26823571|2021-05-31T22:07:31.450000|40.842|14.140833|2.0|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Campi Flegrei|earthquake
26831281|2021-06-01T18:05:29.109000|40.8265|14.140167|1.3|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26841571|2021-06-03T06:01:03.410000|40.8265|14.140167|1.0|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
26877091|2021-06-07T05:31:01.600000|40.8082|14.0997|2.9|BULLETIN-INGV||||Md|1.6|--|Campi Flegrei|earthquake
27134451|2021-06-19T18:27:40.960000|40.8313|14.1402|2.1|BULLETIN-INGV||||Md|1.8|--|Campi Flegrei|earthquake
27291031|2021-06-28T06:05:22.039000|40.819833|14.121667|1.8|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Campi Flegrei|earthquake
27336881|2021-07-02T05:54:23.280000|40.8278|14.1505|2.5|BULLETIN-INGV||||Md|1.6|--|Campi Flegrei|earthquake
27435061|2021-07-08T08:57:08.210000|40.7878|14.1062|0.5|BULLETIN-INGV||||ML|1.7|--|Campi Flegrei|explosion
27452711|2021-07-09T03:28:20.830000|40.8318|14.136|2.3|BULLETIN-INGV||||Md|1.4|--|Campi Flegrei|earthquake
27580751|2021-07-16T14:10:20.250000|40.8325|14.1183|2.3|BULLETIN-INGV||||Md|1.7|--|Campi Flegrei|earthquake
27789661|2021-08-03T03:50:58.140000|40.7958|14.1157|2.6|BULLETIN-INGV||||Md|1.7|--|Campi Flegrei|earthquake
27847011|2021-08-06T14:51:09.030000|40.8027|14.1058|2.9|BULLETIN-INGV||||Md|1.9|--|Campi Flegrei|earthquake
27920371|2021-08-12T00:52:01.329000|40.834167|14.128|3.0|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
28152861|2021-09-01T06:41:16.099000|40.8245|14.137833|0.3|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Campi Flegrei|earthquake
28547781|2021-10-09T15:05:15.900000|40.8323|14.1388|1.8|BULLETIN-INGV||||Md|1.3|--|Campi Flegrei|earthquake
